"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Corsia";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2021/03";"6";"04/03/2021";"4";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"391";"0";"376";"15";"344";"47";"391";"0"
"2021/03";"6";"04/03/2021";"4";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"387";"0";"370";"17";"346";"41";"387";"0"
"2021/03";"6";"05/03/2021";"5";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"464";"0";"448";"16";"385";"79";"464";"0"
"2021/03";"6";"05/03/2021";"5";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"403";"0";"388";"15";"357";"46";"403";"0"
"2021/03";"6";"06/03/2021";"6";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"357";"0";"347";"10";"302";"55";"0";"357"
"2021/03";"6";"06/03/2021";"6";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"365";"0";"355";"10";"311";"54";"0";"365"
"2021/03";"6";"07/03/2021";"7";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"258";"0";"256";"2";"225";"33";"0";"258"
"2021/03";"6";"07/03/2021";"7";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"327";"0";"326";"1";"293";"34";"0";"327"
"2021/03";"6";"08/03/2021";"1";"SS 12 tra Fiumalbo e Abetone";"0 - DA CONFINE REGIONALE TOSCANA A CONFINE REGIONALE LOMBARDIA";"363";"0";"343";"20";"316";"47";"363";"0"
"2021/03";"6";"08/03/2021";"1";"SS 12 tra Fiumalbo e Abetone";"1 - DA CONFINE REGIONALE LOMBARDIA A CONFINE REGIONALE TOSCANA";"364";"0";"351";"13";"308";"56";"364";"0"
